MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,SpectralContrast_7,ZeroCrossingRate,SpectralCentroid,class
-351.31754,117.981636,-95.81988,-65.53432,-41.54104,1.2600021,-26.543507,-5.3554316,9.7287245,5.1924124,15.851039,0.94602245,-1.9598023,0.4821711,0.5461315,0.3189754,0.17478982,0.11559779,0.13184243,0.11757452,0.32687232,0.8315134,0.6896083,0.2378337,0.29649922,16.09152685570062,8.252966757848888,18.33376939578333,16.3607280362253,18.070850030637818,19.28670575154128,21.688631139427596,0.06630161830357142,2501.385833438118,dog_bark
-573.2332,183.8388,-86.40056,48.547085,9.983089,21.652693,-2.8778784,11.374228,7.863986,-6.933499,17.388065,-6.632282,1.1082951,0.48718226,0.49512872,0.52117413,0.54155153,0.5646924,0.5587552,0.50886714,0.4285418,0.47430903,0.52543336,0.51072496,0.4649238,9.90095543099432,8.370619202034096,12.350663576289051,15.133860071746913,17.16303519914588,22.98962625988399,27.065551112099016,0.07166694972826088,2232.57779946851,children_playing
-604.575,186.74057,-71.29498,40.730904,8.443645,18.89066,5.850036,15.935515,8.743742,-6.695419,15.818122,-5.057826,-1.4434919,0.5955736,0.64656,0.61629695,0.51408595,0.53473526,0.628471,0.6013812,0.5416515,0.49032128,0.49643925,0.56553704,0.55869275,9.63516580773814,8.230097879441905,11.71458049861241,15.619162907436507,16.03548534848981,22.211783905860432,24.615102663636065,0.05259001358695652,1956.5270035744807,children_playing
-548.593,160.9375,-62.202946,50.249115,0.12934226,32.01089,-17.907322,23.979868,-4.15999,-2.3839414,14.4221945,-11.3815565,6.262537,0.56516457,0.5578828,0.51582855,0.5626833,0.48883617,0.3911296,0.36223546,0.41670892,0.43788978,0.4633238,0.48038816,0.51195747,10.13678444294307,8.180358377916383,14.758217907954688,15.532058064579818,16.660183799774114,24.068368963137086,29.011577457565135,0.0727638134057971,2652.4627346348525,children_playing
-594.21716,183.91356,-82.14956,45.883015,12.092773,22.867794,4.3427134,13.30972,5.9855976,-3.0398858,17.890368,-7.5115128,-3.2794585,0.71992296,0.6628536,0.54750514,0.50397265,0.51275283,0.5065813,0.5055068,0.53139347,0.4694316,0.46573818,0.55840737,0.6776761,9.909004357867465,8.256263487321721,11.556560293707367,14.975931630872921,16.158746808088665,22.007492169971176,25.3615139013315,0.06088371829710145,2095.392609693724,children_playing
-589.03766,177.34023,-59.94138,47.301315,12.044155,21.027834,8.986917,13.575827,11.223639,-4.4936237,14.596262,-5.3697405,3.2943113,0.69511473,0.6869326,0.6592016,0.6691716,0.6833572,0.660881,0.633391,0.62939763,0.5352155,0.5440956,0.5947042,0.69143856,10.699909596178546,8.750122799013319,11.335964284359843,15.03885352121726,14.831876549223386,19.57522407832615,25.90131474648889,0.038223222373188405,1903.9764853281652,children_playing
-619.97833,180.30745,-58.922997,52.67868,7.3504558,23.257689,7.4514565,10.284961,7.3268843,-4.468368,13.890654,-4.761124,1.6994689,0.6966048,0.71064955,0.70967114,0.6521676,0.6414381,0.6420057,0.5996674,0.6066862,0.5965598,0.62530655,0.65180117,0.6360378,9.968220656257577,8.670482087802128,11.796592681908262,14.15319109647585,15.243181184987476,18.757885953217983,25.16893964621179,0.038633661684782605,1889.8907001218447,children_playing
-608.17194,178.3233,-60.252716,52.616055,-0.1432994,19.816082,10.903159,15.252339,13.162034,-3.1651175,14.965998,-3.6052501,2.6656446,0.71490574,0.69683737,0.7258483,0.7469801,0.7166942,0.7102072,0.6737374,0.6292947,0.6221103,0.6568161,0.6699259,0.692323,10.497867013653002,8.172076916632058,11.672339180805505,13.697855084926825,15.304893163312443,18.144247415604948,25.70375572715355,0.0380859375,1944.930400253995,children_playing
-615.93915,187.75037,-61.25013,46.197033,15.065302,14.025376,13.471411,13.652911,10.304213,0.40447804,13.041346,-3.8171277,0.20571855,0.7571879,0.70499843,0.69075704,0.70349246,0.635396,0.5770084,0.54854125,0.5790253,0.6570559,0.69954145,0.7717813,0.7848778,11.14947903762799,9.461240128776154,12.267389360379786,14.181406136434722,15.333615130192472,20.664702253830082,24.43055647101641,0.03450379302536232,1750.9128374937227,children_playing
-330.88852,156.29604,-33.03701,37.6243,-45.451046,27.48218,-35.63219,-8.093177,-21.637966,3.2149663,-9.419112,-10.781754,-6.089895,0.2370878,0.22198203,0.43798083,0.43198034,0.7084344,0.7263468,0.34021488,0.27212444,0.27439088,0.2463321,0.21095853,0.3778161,17.01453538742941,9.656712937827589,12.315460246181788,14.317073429920345,18.829571624487176,17.41304839327946,40.78004300974078,0.06403459821428571,2617.980433284534,car_horn
